Fecha,SP500,NVDA,MSFT,WMT,Small Caps,Mexico,GMEXICO
07/08/2019,0.010195691,0.019496699,0.006799721,0.011061292,0.004219827,0.016215897,0.040033601
11/01/2023,-0.001894007,-0.014668673,0.02251876,0.001457051,0.004358892,0.017837285,0.039976941
25/10/2022,0.008319804,0.043794916,0.010832209,0.001857857,0.027195233,0.01725794,0.039939015
02/01/2020,-0.007510729,0.00914412,0.013420584,-0.004083444,-0.003293748,0.019572769,0.039880557
07/10/2021,0.02010835,0.030525834,0.010482788,0.01626691,0.021310278,-0.00156832,0.039668006
19/02/2021,0.012575316,0.018065361,-0.004953981,0.011609093,0.027315985,0.008285794,0.039522927
17/02/2021,0.006129025,-0.013676532,0.00571842,0.01418736,-0.005491271,0.007580861,0.03907533
17/04/2019,-0.004855167,-0.01012139,0.005927701,-8.83E-05,-0.017450473,0.010612525,0.038873539
24/06/2022,0.011086003,0.029470938,0.02600131,-0.006770463,0.024907851,0.022670996,0.038857357
07/10/2020,0.000351322,-0.004998066,0.006490073,-0.010520582,0.00855203,0.013444677,0.038822539
14/11/2023,-0.010136166,-0.008494938,-0.004970368,-0.014892234,0.035990172,0.027457255,0.038769726
16/10/2017,0.012197048,0.028812437,0.008335902,-0.003936978,0.005053398,-0.006627196,0.038720919
05/07/2017,0.019719129,-0.000873201,0.011740054,0.004798026,0.012819872,0.008559821,0.038662378
20/03/2024,-0.005140254,-0.00586783,0.001334678,-0.001465882,0.008708877,0.018635193,0.038624753
29/04/2020,-0.01826943,-0.022138896,0.021690918,-0.057183573,0.020618544,0.028108767,0.038073672
05/03/2025,-0.013676263,-0.01314976,0.022897769,0.002041522,0.003844828,0.006271996,0.038007667
21/02/2017,-0.034278516,0.000652294,-0.022726204,0.008829884,-0.014481867,0.008652581,0.037935846
29/11/2023,0.017350856,0.027828337,-0.00195096,-0.00811014,0.013953585,0.007626348,0.037755597
05/12/2016,0.002650277,0.041846787,0.015364787,-0.014223253,0.016051602,0.008731725,0.037513776
15/12/2023,-0.004082507,0.018878148,0.012915596,0.003622471,-0.006451773,0.002453129,0.037496462
03/08/2023,0.029166844,0.036218958,0.015783096,0.018601844,0.014962264,0.00244706,0.037441634
23/12/2020,-0.007868477,-0.026504194,-0.017206582,-0.010901698,-0.001058672,0.023563114,0.037247117
19/03/2020,0.031053573,0.109600859,0.029564945,-0.012619586,0.062183505,-0.007925317,0.036734415
19/08/2020,-0.006449438,-0.012136781,-0.009696904,-0.018419199,0.000783988,-0.002304443,0.036609746
03/07/2023,-0.01341291,-0.009996221,-0.011703024,0.002281735,-0.003239361,0.015812812,0.036575642
27/05/2022,0.003008387,0.028392275,0.017201465,0.009461204,0.020660464,0.00741942,0.036560204
07/05/2021,-0.007076546,0.004721445,0.002964141,-0.013952155,0.00534984,0.006693058,0.036482225
05/03/2018,0.033005207,0.000983615,0.006384508,0.013601541,0.007363151,0.003779929,0.036477724
18/06/2021,0.005101882,0.021980546,0.006280425,-0.006758884,-0.004665538,0.002184491,0.036380011
02/12/2024,0.007392717,0.006232322,0.018388134,0.002297877,-0.001977057,0.006956204,0.036367644
29/11/2021,-0.002202476,0.021749307,0.009782972,-0.026867693,-0.011011581,0.00721446,0.036308576
18/06/2024,-0.010084087,0.014220548,-0.010661973,-0.003457909,-0.002441644,0.016340854,0.036230929
21/08/2019,0.003364695,0.007159449,0.007348559,-0.004004279,0.005079066,0.00928372,0.036103312
29/08/2023,0.016956716,0.039355199,0.015160634,0.009060928,0.016460009,0.014734949,0.036022625
17/09/2019,-0.006198669,-0.01322648,-0.001353093,-0.009726398,0.001108166,0.014118971,0.035718083
26/04/2024,0.008746643,0.05014603,0.014817289,-0.004092847,0.00958232,0.010663505,0.03558008
18/01/2021,-0.022984867,-0.014002916,0,0,0,0.010628015,0.0355291
28/02/2020,-0.01701562,0.046625856,0.029190432,-0.01967869,-0.004180189,-0.006517826,0.035299072
08/06/2018,-0.016396311,-0.027320337,-0.001867244,-0.016245063,-0.003582071,0.009807205,0.034849136
26/11/2020,0.019141755,0.014544109,0,0,0,0.003998594,0.034824577
16/02/2021,0.019726818,0.025344422,0.004854693,0.018336097,-0.004469519,0.006511755,0.034721132
22/11/2022,0.010911117,0.036764735,0.014847676,0.008846687,0.002235527,0.003866981,0.034700699
10/03/2020,0.022991251,0.024680684,0.069005928,0.025059455,0.030473856,0.02042972,0.034651952
09/02/2021,0.00265926,-0.014513869,0.004052861,0.004207383,0.005322314,0.018616664,0.034619892
28/12/2020,0.027047484,0.013592065,0.017098225,0.0191399,-0.002676065,0.011407835,0.034411998
07/04/2022,0.002909111,-0.003076151,0.004287931,0.008015313,-0.004987751,-0.002711253,0.03440583
28/08/2019,0.011441749,-0.009290575,0.00459701,0.008588988,0.016554831,0.007093096,0.034347712
17/01/2020,-0.007011598,-0.021042053,-0.000687131,-0.014410936,-0.010004004,0.01054723,0.034312845
14/04/2020,0.010776272,0.033179245,0.03909789,0.019903246,0.019447625,0.004895618,0.034110469
10/04/2018,-0.003445846,0.046607241,0.018177907,-0.002832028,0.014098589,0.00602474,0.033620629
10/07/2025,0.002360012,0.006804452,-0.005269942,-0.021578269,-0.000172417,0.001058388,0.033557233
01/02/2017,-0.005553047,0.022577171,-0.022876648,-0.013858531,-0.005355791,0.002343668,0.033540207
28/07/2020,-0.006483065,-0.022854285,-0.008515891,0.004686391,-0.016134364,0.000264236,0.033239935
22/06/2021,-0.006275992,0.017909817,0.004050101,-0.002248025,-0.001183781,-0.003577821,0.033211528
22/02/2019,-0.007804989,0.003341728,0.006427516,-0.00612255,0.003526315,0.003900429,0.033170199
12/05/2025,0.047648784,0.067431741,0.033905831,0.010498362,0.047434464,0.004896827,0.033146836
11/02/2022,-0.022601215,-0.074159724,-0.025401439,-0.006354644,-0.019324834,0.011344421,0.033122257
08/12/2022,0.005095617,0.058455693,0.010061698,-0.0044769,0.005483838,0.006643244,0.033119828
11/10/2021,0.010303455,0.014458968,0.005886592,0.007058862,0.001623314,0.009134258,0.033018577
04/04/2019,-0.00440639,-0.008502967,-0.008387729,0.006132444,-0.002838992,0.013986242,0.03299153
31/03/2021,-0.008494159,0.024050729,0.00954519,-0.006558133,0.016159925,-0.013253586,0.032823945
20/08/2019,-0.016462391,-0.023952642,-0.01303851,-0.020281388,-0.010105813,0.003535357,0.032757994
06/05/2021,-0.011367891,-0.019964375,0.003909675,-0.006034887,-0.014176354,0.010638398,0.032610442
23/01/2017,-0.018572481,-0.018287026,-0.00550479,-0.016927312,-0.012885176,0.018803973,0.032503468
16/06/2020,0.026742743,-0.002228386,0.028504077,0.017502129,0.025686617,0.012495178,0.032323686
19/03/2025,0.025118505,0.033092168,0.019505651,0.016964815,0.027462071,0.006227023,0.032172107
10/11/2016,0.081504729,0.041985715,0.010909646,0.039711508,0.048031277,-0.043321072,0.032111076
11/10/2024,-0.012137667,-0.018963888,-0.008870745,-0.003888229,0.011870707,-0.000574988,0.032096052
27/11/2018,-0.010538339,0.011792044,-0.000833939,-0.008261721,-0.017891756,0.008534188,0.032046509
05/11/2018,-0.01999091,-0.051555636,0.001634694,0.009637528,-0.017054438,0.031238983,0.031742196
19/09/2023,-0.009080728,-0.014918984,-0.004380486,-0.003377924,-0.008376496,0.010438912,0.031690423
06/05/2025,-0.009917623,0.00085638,-0.007696896,-0.009001834,-0.01552982,0.024549716,0.031644862
15/08/2024,-0.003608501,0.02409915,0.002320766,0.056122481,0.018441434,0.01060616,0.031644655
08/07/2019,-0.013829873,-0.026844951,-0.005698003,0.001619407,-0.014429031,0.00345344,0.031603544
14/10/2021,0.013042551,0.036308305,0.021087418,0.010368503,0.014417161,0.005382558,0.03144949
21/12/2018,-0.021087312,-0.048264634,-0.029580544,0.001544999,-0.027932192,-0.005036586,0.031421461
14/11/2016,-0.004537413,-0.059589763,-0.016695242,-0.011773455,0.009706434,0.010858832,0.031395877
16/01/2020,0.005057921,0.010103385,0.017576997,0.004781647,0.013626621,0.018729645,0.0313393
03/04/2018,0.014210332,0.012199038,0.011960445,0.013110167,0.010768991,0.018837842,0.031296074
03/04/2024,-0.003371663,-0.009072173,-0.003319087,0.003586277,0.005466576,-0.000349467,0.031174966
03/05/2022,-0.013276308,-0.01624089,-0.018583444,-0.005600344,-0.006504666,-0.01514298,0.030995168
24/10/2017,0.014808461,0.025602919,0.008369883,0.000403933,0.009707746,0.013452667,0.030877802
08/11/2022,0.015880861,0.027828347,0.008075538,0.006079952,0.005016804,0.001970056,0.03083739
31/03/2022,-0.010970333,-0.001270145,-0.018395399,-0.006913876,-0.0124093,0.013006865,0.030805798
17/07/2018,0.011342265,0.026075517,0.013912593,0.01030655,0.013010439,0.005964028,0.030794357
01/03/2022,0.006158025,-0.020871722,-0.004467107,0.014588708,-0.010445252,-0.005069957,0.030739933
25/07/2017,0.009838175,0.012553662,0.01063201,0.023627996,0.007613607,0.000192845,0.030635419
05/10/2017,0.033762834,0.022333092,0.029456753,0.01649982,0.013345306,0.000990589,0.030512625
27/04/2020,-0.008298929,0.006439966,-0.013875302,-0.01985296,0.022058844,0.008608375,0.030450736
28/02/2022,0.00554424,0.013313575,0.011142716,-0.002807369,0.010773541,0.016239028,0.030438603
01/09/2020,-0.005235298,0.021887308,0.00363228,0.056990552,0.007577574,0.01746652,0.030356462
29/12/2017,-0.005683552,-0.032984478,-0.005318591,-0.009778312,-0.0112187,0.010185462,0.030333783
04/11/2019,0.012729524,0.040566946,0.009353339,0.00316879,0.004238509,0.000228337,0.030141385
17/11/2020,-0.00534467,0.00011993,-0.013675796,-0.011964759,0.015564539,0.027491483,0.030069501
23/11/2021,0.013571934,0.003664942,0.002704332,0.016139566,0.002021904,0.012145105,0.029901032
07/12/2017,0.011336752,0.023825855,0.001990337,0.000348701,0.016430015,-0.000425713,0.029873585
25/07/2019,-0.005681089,-0.033170779,-0.005612415,0.000122525,-0.014826156,-0.00487093,0.029794527
30/09/2021,0.000626456,0.025348839,-0.000297479,-0.000524425,-0.001256928,0.004874729,0.029562443
09/04/2024,0.007498126,-0.016077702,0.00822987,0.004424726,0.006866897,-0.006782045,0.029515545
10/02/2017,-0.00336147,-0.028491577,-0.001305779,-0.015830902,0.006589467,0.012014055,0.029436915
08/10/2020,-0.003181361,-0.011046848,-0.000261505,-0.000500454,0.003920061,0.025578191,0.029431605
03/12/2020,-0.009957464,-0.020388643,-0.00932697,-0.012203381,0.00185912,0.005239789,0.029393649
05/06/2024,-0.027344889,0.009280451,-0.001467236,-0.013040336,-0.000668699,0.017867589,0.029330047
15/04/2021,-0.000887014,0.041901082,0.008831289,-0.000339569,-0.001136577,0.00413053,0.029328747
30/05/2019,0.002460789,-0.01231272,0.006705613,0.001086746,0.001559406,0.011592989,0.029174814
09/07/2018,0.025985626,0.022615383,0.017453064,0.027317496,0.015710034,0.004888989,0.029135989
28/05/2021,-0.003298382,0.039125385,-0.000323961,0.000591207,-0.00073306,0.008212365,0.029082924
07/11/2024,-0.021529466,-0.008950275,-0.001877683,-0.009393237,-0.010933018,0.008853022,0.029051909
22/12/2023,-0.001978831,-0.012560132,-0.000397103,0.008701486,0.006883719,-0.002962449,0.028857123
24/01/2024,-0.007482519,0.014751497,0.003917504,-0.019443306,-0.014178378,-0.003259691,0.028697874
23/01/2024,0.016741742,0.017320381,0.013319387,0.009830288,0.005938147,0.015487237,0.028575081
27/02/2023,-0.002477008,0.002304002,0.001532833,-0.009487062,0.002458055,0.005887397,0.028510164
08/02/2021,0.005102342,0.061937082,0.002308844,0.00582448,0.02458137,0.000906002,0.028402676
21/10/2019,0.006335463,0.014910033,0.008128314,0.005756197,0.009478877,0.005322239,0.028188395
12/05/2023,-0.003807962,-0.008201347,-0.003227748,0.000127889,-0.001381325,-0.000363967,0.028188216
16/05/2018,-0.003051911,-0.006613775,-0.007988254,0.012627511,0.004509385,0.003448279,0.028095254
05/05/2021,0.008869503,-0.010381832,-0.002174893,0.002313309,-0.005681837,0.002265007,0.028085337
24/07/2019,-0.010391803,0.009368335,0.003809366,-0.007207899,0.009210284,0.003894844,0.02798168
20/01/2023,0.003814485,0.045314802,0.028775376,0.005897913,0.011150511,0.010267989,0.027980719
29/01/2020,-0.004536248,-0.001296094,0.01418939,-0.007391912,-0.005425881,0.008688926,0.027972521
30/11/2020,0.009996014,0.020184353,0.001537462,0.014761315,-0.000797122,0.001195172,0.02792937
21/10/2020,-0.00493173,-0.023224092,-0.000395724,0.002375047,-0.013916076,0.011449514,0.027898101
21/12/2023,-0.008935367,0.002855099,0.00085785,7.57E-05,0.012258859,0.00944063,0.027767021
04/08/2025,0.017823984,0.033560901,0.023970103,0.013316133,0.027172069,-0.004940896,0.027666126
